review_id,user_id,comment,date,source
128,user_00739,"Добрый день! Хотела бы поделиться своим опытом изучения английского в Skyeng. Первое, что понравилось, мне начислили бонусные уроки сразу после покупки первых занятий. Это приятно. Потом я еще проходила какой-то небольшой опрос, в качестве спасибо прислали небольшой, но полезный pdf с дополнительной грамматикой. С преподавателем мне повезло с первой попытки, очень отзывчивый и грамотный педагог. Несколько раз мы с ним без проблем переносили занятие. На самом занятии можно просто о жизни поболтать и упражнения поделать. Домашнюю работу можно просить много, если время и желание позволяет, а можно и мало. Сама платформа мне нравится, тем что я легко в ней вижу свой прогресс. Можно позаниматься помимо домашки на грамматическом тренажере. В словаре можно слова поучить, в нем и слова с урока и сам можешь добавлять. В целом, у меня пока очень позитивное впечатление. Пару лет назад участвовала в марафоне от Lingoda, в Skyeng учиться нравиться больше. Всем удачи!",11/12/2021,otzovik.com
53,user_00770,"Купилась на рекламу на YouTub. Канал, надо отдать должное, сделан на славу: весело, задорно, классные обаятельные ребята и девчонки со всего мира на отличном русском языке общаются на любые темы. Я давно хотела подтянуть свой английский. Изучала только в школе и совсем немного после. Было это очень давно и многое подзабылось. Под впечатлением от канала решила записаться на пробное занятие. По моей заявке позвонила менеджер и предложила записаться на следующий день и несколько вариантов времени. Выбрала наиболее мне удобное на 19:30. В день занятия мне 3(!) раза позвонили и уточнили, действительно ли я буду присутствовать на занятии и все 3 раза я подтвердила ""Да. Буду."" В назначенное время, я подключилась к занятию. Сначала мне было предложено пройти ряд заданий самостоятельно, а потом ко мне должен присоединиться методист. Все задания уже закончились, а методиста все нет. Через полчаса ожидания, я решила позвонить по одному из номеров с которых мне звонили из школы, что бы уточнить долго ли мне еще ждать и ждать ли вообще. Барышня, на том конце провода, ответила: ""Ой, да. Я проверила и вижу, что методист не смог к вам присоединиться"". Благодарю школу SkyEng за чудесное вводное занятие, благодаря которому я сэкономила свои деньги, хоть и время потратила впустую. Если даже ознакомительное занятие не могут организовать должным образом ( а от него зависит, захочет ли человек принести в школу свои деньи), то представляю уровень самого обучения.",2/20/2026,otzovik.com
161,user_00379,"Изучаю английский с носителем языка в Skyeng уже около года. В течение этого времени для себя прошел чере несколько стадий: 1. Посещал занятия, но не делал ДЗ; 2. Посещал заняти и начал делать ДЗ; 3. Посещал занятия, делал ДЗ и занимался на платформе заучиванием слов. Что могу сказать, возможно через пару месяцев приду к еще какой то стадии:) но очевидно одно, без самоподготовки и дополнительном фокусе на собственных занятиях вне уроков прогресса достичь тяжело. Мой совет - если хотите выучить английский, то им себя нужно окружить максимально. Если говорить про платформу, то она достаточно удобная и относительно стабильная (хотя есть над чем работать). Мобильное приложение пока на 3 из пяти. Выбор преподавателей широкий. Акценты и знания на любой вкус. В целом рекомендую.",5/31/2019,otzovik.com
1138,user_00429,"Прохождение курса SMM специалист с 0 до про. При прохождении курса в Skillbox остались только полоположительные эмоции, материал подаётся без воды, специалисты знают свое дело, быстро реагируют на запрос через чаты, много доп. Информации. Много практики и работ над ошибками. Оперативно решаются задачи поставленные студентами. В общих чатах можно делиться опытом и общаться со своими студентами на потоке. Куратор всегда доступен, на любые вопросы получаешь исчерпывающие ответи.",8/30/2023,sravni.ru
1788,user_00122,"Нравится учится, все понятно и доходчиво. Ничего гуглить допом не приходится, все есть в курсе, а так же поступает доп информация от ментора и куратора. Всем довольна!",2/14/2024,sravni.ru
752,user_00181,"Изначально целью учёбы в Нетологии было сменить профессию, т. К. В моей сфере деятельности сложилась крайне неблагоприятная обстановка. Обдумав возможные перспективы, я записался на курс «Java-разработка для начинающих» в рамках гос. Проекта «Цифровые профессии 2022». Своим выбором я остался доволен. Темп обучения был вполне приемлемый, и даже если Вы работаете на 2х работах, или у Вас ненормированный рабочий день, успевать вполне реально. Да, свободного времени будет оставаться меньше (или не будет совсем), но успевать будете. Учебная программа интересная, подача материала на вебинарах и видеолекциях четкая, ясная, без «воды», на мой взгляд заграгиваемые темы раскрываются полностью. Презентации по программе дополняют видеоматериал, в них больше дополнительной информации. Работа экспертов, координатора и аспирантов таже понравилась. Особенно запомнились лекции и вебинары Филлипа В. , Тимура А. — Очень доступно излагался материал, ответы на вопросы были простыми и понятными. Обратная связь, особенно по домашним заданиям (просто вопросов я задавал немного:), была оперативной и хорошей. Одну из моих «домашек» мы разбирали с экспертом Георгием В. , Я в ней запутался и он терпеливо, пошагово помог мне с ней разобраться, в течение 2х дней мы весьма интенсивно переписывались, в результате тема была мной усвоена очень хорошо. Координатор нашей группы, Алёна З. , Также очень мне помогла, когда после середины курса у меня сложилась такая ситуация по основной работе что впору было поставить на учёбе жирный крест. Она меня поддержала, объяснила, что сложившиеся трудности вполне преодолимы, благодаря чему курс я благополучно закончил и получил диплом. Касательно платформы Нетологии, как сайта, так и мобильного приложения, у меня нареканий не возникло. Я в общем — то не слишком притязателен, возможно кто-то и найдёт в них неудобства, но каких-то откровенных багов я не увидел, работать мне было комфортно. По поиску работы после курса ничего сказать не могу, т. К. За две недели до его окончания ситуация в моей изначальной сфере поменялась буквально на 180 градусов в лучшую сторону, из-за чего необходимость в смене профессии отпала. Но полученные знания лишними не стали, это стало моим небольшим хобби, мне удалось написать для себя две небольших программы — шпаргалки, облегчившие мне основную работу. Я рекомендую данный курс в Нетологии всем, кому интересно программирование. P. S. Прошу прощения если перепутал ФИО кого-то из экспертов Нетологии, все-таки уже почти год прошел.",3/5/2024,sravni.ru
1505,user_00004,"Всем привет! Я только начал обучение. Поэтому не могу претендовать на истину в первой инстанции. В целом материал интересный, подача норм, пока не могу сказать про полезность. Но меня смутил момент, когда на первом или втором уроке меня познакомили с рабочей средой Intellij IDEA. Но не просто познакомили, а сразу начали рассказывать, как туда плагин AL вкарячить. Т. Е. Подразумевается, что она у меня установлена, а самое главное, я умею в ней работать. Стоп, я еще не знаю, что это за программа и для чего. Я не имел дело с программированием, и с подобными программами. Именно поэтому я взял курс обучения с нуля! В итоге я конечно узнал, где ее скачать. Потом узнал, что только через VPN, потом узнал, как настроить. И то не до конца разобрался. Но узнал я это не от препода, а из видоситков школьников. А хотелось бы, чтобы рассказывали про инструменты работы и т. Д. И не в видосиках, а на обучении. Дрльше будем посмотреть.",11/30/2025,sravni.ru
1025,user_00640,"Плюсы: Возвращают оплату. Быстро реагируют на сообщения если проявить инициативу. Минусы: Затрудняюсь что-либо говорить, поскольку само обучение не состоялось. Отзыв: Не могу ничего сказать про само обучение, но организация процесса слабовата. В сентябре 2020-го увидела рекламу школы в сети о курсах по SEO-продвижению от данной онлайн школы. Привлекла цена в в размере около четырёх с небольшим т. Р. За четыре месяца обучения с гарантированным трудоустройством. Как потом оказалось что эту сумму надо вносить ежемесячно на протяжении десяти месяцев, а полная стоимость обучения составляет свыше 40 т. Р. , Но тут особо без претензий поскольку сама видимо была не особо внимательна, да и менеджер сразу уточнил общую стоимость. В тот же день со мной связался менеджер Максим, уточнил все детали, предложил беспроцентную банковскую рассрочку и скидку в 10% с условием что я должна внести оплату за обучение в течение ближайших двух или трёх дней (точнее уже не помню). В течение этого времени постоянно был на связи, даже помог решить проблему с банком, который пытался втюхать страховку сверх озвученной суммы. После оплаты мне сразу отписался что средства получены, озвучил дату начала обучения, 26 сентября. Сказал что в 15 часов мне придётся на почту все что нужно. Я терпеливо ждала нужного дня, но на почту ничего не пришло, тогда мне пришлось самой выйти на связь с Максимом и напомнить ему о себе. Надо отдать должное, ответ я получила в тот же день хотя это был вечер пятницы. Мне сообщили что старт обучения откладывается на месяц всвязи с тем что группа не набралась. Было не особо радостно, но в положение вошла, у всех бывает форсмажор. Когда стало приближаться время первого платежа, я написала менеджеру письмо с просьбой уменьшить стоимость обучения и внести за меня первый платёж по кредиту. Мотивировала тем что оплачивать услугу, которой пока так и не пользуюсь немного обидно. Мою просьбу передали в нужный отдел и сделали возврат на мой счет первый платёж. Спустя месяц ситуация повторилась, группа не набрана, старт обучения переносится еще на три недели. Со мной связалась координатор Анна и, как вариант, предложила другой курс «Digital маркетинг», который стартует в ближайшее время, если я не хочу ожидать начала обучения по SEO. По итогу я отказалась от всего и попросила вернуть оплату за обучение. Надо отдать должное что со мной не торговались и в течение ближайших дней оплата вернулась мне на счет погашения задолженности по кредиту. Вот так закончилась моя история взаимодействия с онлайн- школой Skillfactory. Впечатление осталось скорее благоприятное. Могу только посоветовать кураторам школы более активно взаимодействовать с клиентами и после оплаты, а не только до. Четыре звезды ставлю за быстрый возврат средств. Рекомендовать никому не стала бы поскольку обучение так и не прошла.",2/10/2021,sravni.ru
881,user_00640,"Моя история такова: решил сменить профессию, начал искать куда можно пойти из айти, долго выбирал школу, после долгих сравнений остановился на Нетологии, курсы тестировщика 14 месяцев показались мне плохой идеей (я перехотел бы учиться), выбрал курс полугодовой. Что понравилось: курс по ручному тестированию изложен очень полно, подробно, много тест-кейсов и баг репортов было написано, техники тест дизайна, классификация тестирования рассказаны идеально. В курсе по автоматизации все стало сложнее, но преподаватели в беде не оставят, понимание, естественно приходило не сразу, ДЗ очень помогали в понимании. Что не понравилось: в курсе по ручному тестированию подробнее хотелось бы узнать про работу с постманом, т. К. Этот вопрос часто спрашивали на собеседованиях. То же и про SQL. Т. К. Преподаватель не один, бывает, что кого-то начинаешь «любить» больше, чем других, из-за этого разные темы по-разному усваиваются. Вывод: формат вебинаров мне понравился. Я думаю, что все понимают, что только одного обучения в школе не будет достаточно, чтобы все работодатели звонили с предложениями о работе. Нетология дает отличные базовые знания, строит в голове твердый фундамент, на котором нужно строить дальнейшие знания. Лично я благодарен Нетологии за то, что моя мечта осуществилась и я смог сменить профессию! Отдельное спасибо Анастасии Ш. Из курса по ручному тестированию и Филиппу В. Из курса по автоматизации.",10/20/2021,sravni.ru
1018,user_00640,"Плюсы: Преподаватели, обратная связь, возможность учиться в собственном ритме Минусы: не вся информация в модулях необходима Отзыв: Что ж, давай попробуем Скилбокс — сказала я себе однажды. 2020-2021 Показали, что обучение в онлайне легко совмещать с работой и домашними делами. Тем более это легко сделать в условиях локдауна. Я выбрала курс SMM-маркетолог от А до Я, понимая, что тот это отличная возможность для реализации. Ты можешь работать над своим брендом, на фрилансе или в студии. В курсе Скилбокс меня подкупил состав преподавателей — это лидеры digital-рынка, которые добились всего и теперь делятся знаниями. Несмотря на пафос, всегда можно рассчитывать на обратную связь, подсказки по ошибкам. Плюс ты учишься когда хочешь и углубляешься насколько хочешь. Я лентяй, но даже я чувствую, как расту в этой классной профессии. Из минусов выделила бы тот момент, что не все модули, как по мне, необходимы для изучения или не требует такого глубокого погружения. А так, очень довольна обучением.",10/28/2021,sravni.ru
